Component,Group,Loop,Active,Stocked component,Sort Order,Condition,Quantity,Final Length,Rough Length,Width,Thickness,Material,Notes
SW Frame Jambs (Spiral frame) (309),Sash Window Frames (300),frame,Yes,,309,to_be_replaced and is_sw and is_solid_spiral_jamb,2,frame_height_in_mm,final_length+ trimcut,jamb_left_in_mm,frame_depth_in_mm,frame_material_id,
SW Frame Outer Cheek (Box frame) (310),Sash Window Frames (300),frame,Yes,,310,to_be_replaced and is_sw and is_hollow_box,2,frame_height_in_mm,final_length+ trimcut,jamb_left_in_mm,liner_thickness,frame_material_id,
SW Frame Inner Cheek (Box frame) (315),Sash Window Frames (300),frame,Yes,,315,to_be_replaced and is_sw and is_hollow_box,2,frame_height_in_mm,final_length+ trimcut,jamb_profiled_left_in_mm,liner_thickness,frame_material_id,
SW Frame Pulley Stile (Box frame) (320),Sash Window Frames (300),frame,Yes,,320,to_be_replaced and is_sw and is_hollow_box,2,frame_height_in_mm - head_profiled_height_in_mm - 15,final_length+ trimcut,frame_depth_in_mm - (18  * 2),20,frame_material_id,
SW Frame Head (Spiral frame) (330),Sash Window Frames (300),frame,Yes,,330,to_be_replaced and is_sw and is_solid_spiral_jamb,1,frame_width_in_mm,final_length+ trimcut,frame_depth_in_mm,head_height_in_mm,frame_material_id,
SW Frame Pulley Stile Head (Box frame) (340),Sash Window Frames (300),frame,Yes,,340,to_be_replaced and is_sw and is_hollow_box,1,frame_width_in_mm,final_length+ trimcut,frame_depth_in_mm - (18 * 2),liner_thickness,frame_material_id,
SW Frame Head Outer Cheek (Box frame) (350),Sash Window Frames (300),frame,Yes,,350,to_be_replaced and is_sw and is_hollow_box,1, frame_width_in_mm-jamb_profiled_left_in_mm-jamb_profiled_right_in_mm,final_length+ trimcut,jamb_profiled_left_in_mm,liner_thickness,frame_material_id,
SW Frame Head Inner Cheek (Box frame) (351),Sash Window Frames (300),frame,Yes,,351,to_be_replaced and is_sw and is_hollow_box,1,frame_width_in_mm-jamb_profiled_left_in_mm-jamb_profiled_right_in_mm,final_length+ trimcut,jamb_profiled_right_in_mm,liner_thickness,frame_material_id,
Mullion Inner Liner (SW) (360),Sash Window Frames (300),frame_divider,Yes,,360,is_frame_to_be_replaced and is_vertical and not is_partial and (is_hollow_box or is_solid_spiral_jamb),2,frame_height_in_mm,final_length+ trimcut,profiled_width_in_mm,liner_thickness,frame_material_id,
Mullion Outer Liner (SW) (365),Sash Window Frames (300),frame_divider,Yes,,365,is_frame_to_be_replaced and is_vertical and not is_partial and (is_hollow_box or is_solid_spiral_jamb),1,frame_height_in_mm,final_length+ trimcut,gross_width_in_mm,liner_thickness,frame_material_id,
Mullion (SW) (370),Sash Window Frames (300),frame_divider,Yes,,370,is_frame_to_be_replaced and is_vertical and not is_partial and (is_hollow_box or is_solid_spiral_jamb),1,frame_height_in_mm,final_length+ trimcut,gross_width_in_mm,frame_depth_in_mm,frame_material_id,
SW Plywood linings Jambs (Box frame) (380),Sash Window Frames (300),frame,Yes,,380,to_be_replaced and is_sw and is_hollow_box,2,frame_height_in_mm,final_length+ trimcut,frame_depth_in_mm - 10,plywood_thickness,plywood_id,
SW Plywood linings Head (Box frame) (390),Sash Window Frames (300),frame,Yes,,390,to_be_replaced and is_sw and is_hollow_box,1,frame_width_in_mm,final_length+ trimcut,frame_depth_in_mm - 10,plywood_thickness,plywood_id,
SW Sash Top Rail Top Sash (410),SW Sashes (400),sliding_sash,Yes,,410,to_be_replaced and is_top_sash,1,gross_sash_width_in_mm,final_length + trimcut,gross_sash_head_height_in_mm,sash_thickness,sash_material_id,
SW Sash Top Rail Top Sash (410),SW Sashes (400),sliding_sash,Yes,,415,to_be_replaced and is_top_sash,2,gross_sash_height_in_mm,final_length + trimcut,gross_left_sash_stile_width_in_mm,sash_thickness,sash_material_id,
SW Meeting Rail Top Sash (420),SW Sashes (400),sliding_sash,Yes,,420,to_be_replaced and is_top_sash,1,gross_sash_width_in_mm,final_length + trimcut,gross_bottom_rail_height_in_mm,sash_thickness,sash_material_id,
SW Meeting Rail Top Sash Plant On (421),SW Sashes (400),sliding_sash,Yes,,421,to_be_replaced and is_top_sash,1,gross_sash_width_in_mm,final_length + trimcut,gross_bottom_rail_height_in_mm,top_sash_plant_on,sash_material_id,
SW Meeting Rail Top Sash Plant On (425),SW Sashes (400),sliding_sash,Yes,,425,to_be_replaced and is_bottom_sash,1,gross_sash_width_in_mm,final_length + trimcut,gross_sash_head_height_in_mm,sash_thickness,sash_material_id,
SW Stiles Bottom Sash (430),SW Sashes (400),sliding_sash,Yes,,430,to_be_replaced and is_bottom_sash,2,gross_sash_height_in_mm,final_length + trimcut,gross_left_sash_stile_width_in_mm,sash_thickness,sash_material_id,
SW Bottom Rail Bottom Sash (435),SW Sashes (400),sliding_sash,Yes,,435,to_be_replaced and is_bottom_sash,1,gross_sash_width_in_mm,final_length + trimcut,gross_bottom_rail_height_in_mm,sash_thickness,sash_material_id,
Door Frame Cill (505),Door Frames (500),frame,Yes,,505,to_be_replaced and door_leaf_qty >= 1,1,cill_length_in_mm,final_length + trimcut,gross_cill_depth_in_mm,cill_height_in_mm,cill_material_id,
Door Frame Jambs (510),Door Frames (500),frame,Yes,,510,to_be_replaced and door_leaf_qty >= 1,2,frame_height_in_mm,final_length + trimcut,frame_depth_in_mm,jamb_right_in_mm,frame_material_id,
Door Frame Head (520),Door Frames (500),frame,Yes,,520,to_be_replaced and door_leaf_qty >= 1,1,([frame_width_in_mm] == [cill_length_in_mm])? [frame_width_in_mm]:[cill_length_in_mm],final_length + trimcut,frame_depth_in_mm,head_height_in_mm,frame_material_id,
Door Bottom Rail (605),Door Leaves (600),door_leaf,Yes,,605,to_be_replaced,1,gross_sash_width_in_mm,final_length + trimcut,gross_bottom_rail_height_in_mm,sash_thickness,sash_material_id,
Door Sash Stiles (620),Door Leaves (600),door_leaf,Yes,,620,to_be_replaced,2,gross_sash_height_in_mm,final_length + trimcut,([is_master_leaf_in_french_pair])? gross_left_sash_stile_width_in_mm:gross_right_sash_stile_width_in_mm,sash_thickness,sash_material_id,
Door leaf Top Rail (635),Door Leaves (600),door_leaf,Yes,,635,to_be_replaced,1,gross_sash_width_in_mm,final_length + trimcut,gross_sash_head_height_in_mm,sash_thickness,sash_material_id,
Door Panel (640),Door Leaves (600),panel,Yes,,640,to_be_replaced and is_in_a_sash,1,visible_height_in_mm,final_length + trimcut,visible_width_in_mm,sash_thickness_in_mm,sash_material_id,Add panel Tickness Variable
Frame Panel (645),Door Leaves (600),panel,Yes,,645,to_be_replaced and not is_in_a_sash,1,visible_height_in_mm,final_length + trimcut,visible_width_in_mm,sash_thickness_in_mm,sash_material_id,Add panel Tickness Variable
Door Midrail / Transom (650),Door Leaves (600),sash_divider,Yes,,650,is_horizontal and is_in_door_leaf,1,visible_length_in_mm,final_length + trimcut,width_in_mm,sash_thickness_in_mm,sash_material_id,
Door Rails and muntins Vertical partial (655),Door Leaves (600),partial_sash_divider,Yes,,655,is_vertical and is_in_door_leaf,1,visible_length_in_mm,final_length + trimcut,width_in_mm,sash_thickness_in_mm,sash_material_id,
Direct glaze unit Top Rail (660),Door Leaves (600),direct_glazed_unit,Yes,,660,to_be_replaced and has_top_rail,1,rail_length_in_mm,final_length + trimcut,gross_top_rail_height_in_mm,rail_thickness,sash_material_id,
Direct glaze unit Bottom Rail (665),Door Leaves (600),direct_glazed_unit,Yes,,665,to_be_replaced and has_bottom_rail,1,rail_length_in_mm,final_length + trimcut,gross_top_rail_height_in_mm,rail_thickness,sash_material_id,
Glass Fix Bead Horizontal (800),Glazing Beads and Bars (800),glass_unit,Yes,,800,to_be_replaced and not is_individual_panes,2,actual_width,actual_width +  trimcut,20,15,sash_material_id,
Glass Fix Bead Vertical (801),Glazing Beads and Bars (800),glass_unit,Yes,,801,to_be_replaced and not is_individual_panes,2,actual_height,actual_height+  trimcut,20,15,sash_material_id,
Solid Glazing Bars Vertical Sashes (802),Glazing Beads and Bars (800),glazing_bar,Yes,,802,has_tail and is_vertical,1,([is_in_door_leaf])? ([sightline_length_in_mm] + [top_rail] * 2):([sightline_length_in_mm] + [top_rail] * 2),([is_in_door_leaf])? ([sightline_length_in_mm] + [top_rail] * 2):([sightline_length_in_mm] + [top_rail] * 2),width_in_mm,sash_thickness,sash_material_id,
Solid Glazing Bars Horizontal (803),Glazing Beads and Bars (800),glazing_bar,Yes,,803,has_tail and is_vertical,1,sightline_length_in_mm + 55 * 2,sightline_length_in_mm + 55* 2,width_in_mm,sash_thickness,sash_material_id,
Surrounds: [name] (905),Components (900),component,Yes,,905,is_complete_new,1,length * 1000,([length] * 1000) + trimcut,width,thickness,component_material,
